"Stock Symbol","Date","Open Price","Close Price","Current Price","Price Change Rate","Price Change","High Price","Low Price","Volume"
"018260",,"145600","N/A","146100","1.04","1500","147700","145000","87455"
"215200",,"44750","N/A","44350","0.68","300","45200","44350","18995"
"001820",,"35450","N/A","35650","-0.28","100","36300","35300","31839"
"019590",,"921","N/A","921","0.0","0","921","921","0"
"000970",,"6450","N/A","6420","-0.16","10","6470","6400","11603"
"042370",,"7130","N/A","7110","-0.28","20","7240","7110","70069"
"024940",,"5640","N/A","5680","0.35","20","5770","5610","189384"
"101670",,"2200","N/A","2160","-1.82","40","2240","2125","590577"
"088130",,"9010","N/A","8880","-1.88","170","9140","8870","68849"
"032560",,"5460","N/A","5440","-0.37","20","5480","5390","6637"
"010770",,"2775","N/A","2785","0.18","5","2810","2775","1781"
"195500",,"2965","N/A","2940","-0.68","20","2985","2935","112288"
"006280",,"158600","N/A","159600","0.13","200","161200","157100","39859"
"053030",,"23750","N/A","24800","3.33","800","25450","23700","2711554"
"226340",,"1777","N/A","1726","-3.36","60","1789","1721","595694"
"352480",,"84400","N/A","81800","-2.73","2300","84600","80800","135299"
"103840",,"4435","N/A","4240","-4.4","195","4440","4180","160737"
"131090",,"865","N/A","858","-0.69","6","872","852","22055"
"458870",,"15100","N/A","14690","-1.54","230","15400","14640","179110"
"009310",,"407","N/A","414","0.73","3","420","406","128183"
"263750",,"39050","N/A","38300","-1.03","400","40100","38150","195811"
"001810",,"1706","N/A","1709","-0.58","10","1730","1692","12373"
"024950",,"4100","N/A","4105","-0.48","20","4185","4100","17596"
"018250",,"18470","N/A","18020","-2.44","450","18470","17990","16828"
"089470",,"4160","N/A","4155","-0.72","30","4215","4150","30402"
"101680",,"2645","N/A","2565","-3.02","80","2675","2565","7055"
"317240",,"279","N/A","279","0.0","0","279","279","0"
"094800",,"4525","N/A","4510","-0.33","15","4545","4480","62119"
"168360",,"5250","N/A","5390","0.56","30","5480","5230","488313"
"900140",,"2525","N/A","2410","-4.55","115","2545","2405","774436"
"331520",,"715","N/A","710","-0.98","7","715","704","186275"
"032580",,"1512","N/A","1398","-7.54","114","1619","1382","14707144"
"009780",,"7050","N/A","6210","-4.46","290","7190","5930","6570258"
"028080",,"2865","N/A","3005","4.89","140","3030","2850","169049"
"036930",,"27400","N/A","27150","0.0","0","27800","27150","212594"
"274400",,"6060","N/A","5860","-2.98","180","6350","5730","22780"
"035600",,"9570","N/A","9420","-1.05","100","9570","9410","51754"
"226330",,"5600","N/A","5690","1.97","110","5790","5500","66063"
"004090",,"19400","N/A","19010","-1.09","210","19600","18930","707521"
"078340",,"42850","N/A","41100","-3.63","1550","42850","41000","69692"
"104700",,"8450","N/A","8370","0.48","40","8470","8290","17542"
"195990",,"475","N/A","478","-0.21","1","485","475","193935"
"457550",,"16070","N/A","15690","-2.97","480","16240","15650","111785"
"048910",,"8510","N/A","8390","0.0","0","8800","8380","40131"
"043220",,"541","N/A","530","-3.11","17","547","525","473137"
"009300",,"21900","N/A","21450","-1.61","350","22350","21450","22795"
"007120",,"1149","N/A","1085","-1.27","14","1149","1085","51562"
"020560",,"9600","N/A","9460","-1.46","140","9700","9430","49902"
"000990",,"39850","N/A","40500","1.76","700","40950","39800","292325"
"090470",,"5440","N/A","5400","-1.1","60","5520","5350","19962"
"365330",,"4380","N/A","4425","4.98","210","4570","4335","6929052"
"217880",,"2795","N/A","2725","-0.37","10","2795","2650","502"
"001840",,"2660","N/A","2615","-0.19","5","2660","2600","30684"
"317690",,"8980","N/A","8840","-2.86","260","9100","8760","343114"
"214370",,"18710","N/A","17300","-6.64","1230","18710","17300","118290"
"145270",,"1031","N/A","1027","-0.39","4","1035","1023","128482"
"032540",,"5450","N/A","5390","-2.0","110","5500","5390","15104"
"148780",,"1071","N/A","1074","0.28","3","1087","1058","26953"
"078350",,"13050","N/A","13120","0.92","120","13390","13050","86610"
"272210",,"17830","N/A","17930","0.9","160","18050","17750","656384"
"356860",,"12870","N/A","12870","0.08","10","13250","12860","31447"
"028050",,"22600","N/A","22250","-0.45","100","22750","22200","370989"
"341310",,"899","N/A","975","-1.91","19","994","845","75"
"066310",,"7070","N/A","7090","-0.28","20","7170","7000","13968"
"226360",,"2555","N/A","2555","0.0","0","2555","2555","0"
"344820",,"40600","N/A","40550","-0.12","50","40850","40500","8370"
"023600",,"9370","N/A","9390","0.21","20","9480","9350","5932"
"066790",,"1715","N/A","1750","2.04","35","1871","1712","3453280"
"090460",,"16860","N/A","16910","0.3","50","17140","16860","203630"
"365340",,"60800","N/A","58100","-3.49","2100","60900","58000","22228"
"000500",,"38400","N/A","37400","-2.09","800","38950","37350","50506"
