"StockType","StockEndType","CompareCode","CompareText","CompareName","NationType","StockExchangeCode","StockExchangeZoneId","StockExchangeNationType","DelayTime","StartTime","EndTime","ClosePriceSendTime","StockExchangeNameKor","StockExchangeNameEng","StockType","NationName","NationCode","ReutersCode","SymbolCode","StockName","StockNameEng","ReutersIndustryCode","IndustryCode","IndustryGroupKor","OpenPrice","ClosePrice","CompareToPreviousClosePrice","FluctuationsRatio","ExecutedVolume","AccumulatedTradingVolume","AccumulatedTradingValue","AccumulatedTradingValueKrwHangeul","LocalTradedAt","MarketStatus","MarketValue","MarketValueHangeul","MarketValueKrwHangeul","CurrencyCode","CurrencyText","CurrencyName","Dividend","DividendPayAt","TradeStopCode","TradeStopText","TradeStopName","EndUrl","DelayTimeName","StockEndUrl"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","AAPL.O","AAPL","애플","Apple Inc","5710602011","57106020","전화 및 소형 장치","227.90","226.80","1.13","0.50",,"37,345,098","8,435,836","11조 3,774억원","2024-10-04T16:00:00-04:00","CLOSE","3,448,298,272","3조 4,483억 USD","4,650조 7,199억원","USD","US dollar","USD","1.00","2024-08-15T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/AAPL.O","실시간","https://m.stock.naver.com/worldstock/stock/AAPL.O"
"worldstock","stock","5","하락","FALLING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","MSFT.O","MSFT","마이크로소프트","Microsoft Corp","5720102010","57201020","소프트웨어","418.24","416.06","-0.48","-0.12",,"19,190,913","7,998,351","10조 7,874억원","2024-10-04T16:00:00-04:00","CLOSE","3,092,589,949","3조 926억 USD","4,170조 9,761억원","USD","US dollar","USD","3.32","2024-12-12T21:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/MSFT.O","실시간","https://m.stock.naver.com/worldstock/stock/MSFT.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","NVDA.O","NVDA","엔비디아","NVIDIA Corp","5710101010","57101010","반도체","124.94","124.92","2.07","1.69",,"244,465,552","30,311,602","40조 8,813억원","2024-10-04T16:00:00-04:00","CLOSE","3,064,287,600","3조 643억 USD","4,132조 8,047억원","USD","US dollar","USD","0.04","2024-10-03T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/NVDA.O","실시간","https://m.stock.naver.com/worldstock/stock/NVDA.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","AMZN.O","AMZN","아마존닷컴","Amazon.com Inc","5340201013","53402010","백화점","185.75","186.51","4.55","2.50",,"41,079,011","7,629,633","10조 2,901억원","2024-10-04T16:00:00-04:00","CLOSE","1,957,528,179","1조 9,575억 USD","2,640조 1,183억원","USD","US dollar","USD","0.00","2022-06-03T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/AMZN.O","실시간","https://m.stock.naver.com/worldstock/stock/AMZN.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","META.O","META","메타 플랫폼스","Meta Platforms Inc","5720103012","57201030","온라인 서비스","583.73","595.94","13.17","2.26",,"14,199,788","8,375,247","11조 2,957억원","2024-10-04T16:00:00-04:00","CLOSE","1,507,618,996","1조 5,076억 USD","2,033조 3,257억원","USD","US dollar","USD","2.00","2024-09-26T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/META.O","실시간","https://m.stock.naver.com/worldstock/stock/META.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","GOOGL.O","GOOGL","알파벳 Class A","Alphabet Inc Class A","5720103011","57201030","온라인 서비스","168.06","167.06","1.20","0.72",,"19,093,724","3,183,237","4조 2,932억원","2024-10-04T16:00:00-04:00","CLOSE","1,123,478,500","1조 1,235억 USD","1,515조 2,355억원","USD","US dollar","USD","0.80","2024-09-16T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/GOOGL.O","실시간","https://m.stock.naver.com/worldstock/stock/GOOGL.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","GOOG.O","GOOG","알파벳 Class C","Alphabet Inc Class C","5720103011","57201030","온라인 서비스","169.34","168.56","1.35","0.81",,"11,435,318","1,922,707","2조 5,932억원","2024-10-04T16:00:00-04:00","CLOSE","941,407,600","9,414억 USD","1,269조 6,764억원","USD","US dollar","USD","0.80","2024-09-16T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/GOOG.O","실시간","https://m.stock.naver.com/worldstock/stock/GOOG.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","AVGO.O","AVGO","브로드컴","Broadcom Inc","5710101010","57101010","반도체","176.30","176.64","4.75","2.76",,"17,941,387","3,152,150","4조 2,513억원","2024-10-04T16:00:00-04:00","CLOSE","825,010,559","8,250억 USD","1,112조 6,917억원","USD","US dollar","USD","2.12","2024-09-30T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/AVGO.O","실시간","https://m.stock.naver.com/worldstock/stock/AVGO.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","TSLA.O","TSLA","테슬라","Tesla Inc","5310101014","53101010","자동차 및 트럭 제조","246.69","250.08","9.42","3.91",,"86,726,285","21,519,155","29조 229억원","2024-10-04T16:00:00-04:00","CLOSE","797,554,177","7,976억 USD","1,075조 6,613억원","USD","US dollar","USD","0.00","2022-08-24T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/TSLA.O","실시간","https://m.stock.naver.com/worldstock/stock/TSLA.O"
"worldstock","stock","2","상승","RISING","USA","NSQ","EST5EDT","USA","0","0930","1600","2031","나스닥 증권거래소","NASDAQ Stock Exchange","worldstock","미국","USA","COST.O","COST","코스트코 홀세일","Costco Wholesale Corp","5340202010","53402020","할인점","877.99","883.11","7.44","0.85",,"1,517,311","1,337,724","1조 8,042억원","2024-10-04T16:00:00-04:00","CLOSE","391,329,002","3,913억 USD","527조 7,854억원","USD","US dollar","USD","4.64","2024-08-09T20:00:00Z","1","운영.Trading","TRADING","https://m.stock.naver.com/worldstock/stock/COST.O","실시간","https://m.stock.naver.com/worldstock/stock/COST.O"
